a	啊阿呵吖锕
w	ting zhi	停止
w	deng dai	等待
w	xun zhao	寻找
w	fa xian	发现
w	jie jue	解决
w	bang zhu	帮助
w	wan cheng	完成
w	bao hu	保护
w	bao chi	保持
w	shi yong	使用
w	cao zuo	操作
w	yi dong	移动
w	shu ru	输入
w	shu chu	输出
w	cha kan	查看
w	jian cha	检查
w	ce shi	测试
w	chang shi	尝试
w	fu ze	负责
w	zun shou	遵守
w	ti gao	提高
w	zeng jia	增加
w	jian shao	减少
w	bian hua	变化
w	fa zhan	发展
w	chu xian	出现
w	fa sheng	发生
w	de dao	得到
w	shi qu	失去
w	yong you	拥有
w	xu yao	需要
w	que shao	缺少
w	ti gong	提供
w	yao qing	邀请
w	jie shou	接受
w	ju jue	拒绝
w	zhu he	祝贺
w	zhu fu	祝福
w	zhao gu	照顾
w	pei ban	陪伴
w	yu jian	遇见
w	yu dao	遇到
w	ting jian	听见
w	ting shuo	听说
w	kan dao	看到
w	zhao dao	找到
w	song dao	送到
w	hui lai	回来
w	chu qu	出去
w	li kai	离开
w	shuo hua	说话
w	ting hua	听话
w	da sheng	大声
w	xiao sheng	小声
w	chang ge	唱歌
w	tiao wu	跳舞
w	hua hua	画画
w	lian xi	练习
w	xiu gai	修改
w	zheng li	整理
w	da sao	打扫
w	hua qian	花钱
w	sheng qian	省钱
w	zhuan qian	赚钱
w	mai dong xi	买东西
w	xin shang	欣赏
w	wan shua	玩耍
w	shang xian	上线
w	xia xian	下线
w	duan wang	断网
w	lian wang	联网
w	jin xing	进行
w	bian cheng	变成
w	cheng wei	成为
w	bian de	变得
w	xian de	显得
w	shou dao	受到
w	yin qi	引起
w	zao cheng	造成
w	shu yu	属于
w	chu li	处理
w	guan li	管理
w	zu zhi	组织
w	jian li	建立
w	cheng li	成立
w	gai shan	改善
w	gai bian	改变
w	gai jin	改进
w	tui dong	推动
w	dai lai	带来
w	she ji	设计
w	dong xi	东西
w	shi qing	事情
w	di fang	地方
w	fang fa	方法
w	qing kuang	情况
w	yuan yin	原因
w	jie guo	结果
w	mu biao	目标
w	guo cheng	过程
w	jing yan	经验
w	jiao xun	教训
w	xiang fa	想法
w	yi jian	意见
w	jian yi	建议
w	li zi	例子
w	bu fen	部分
w	nei rong	内容
w	zuo yong	作用
w	ying xiang	影响
w	yi yi	意义
w	jia zhi	价值
w	shui ping	水平
w	neng li	能力
w	ji shu	技术
w	huan jing	环境
w	she hui	社会
w	guo jia	国家
w	cheng shi	城市
w	shi jie	世界
w	sheng huo	生活
w	sheng ming	生命
w	zi ran	自然
w	jing ji	经济
w	fa lv	法律
w	xin wen	新闻
w	xin xi	信息
w	gu shi	故事
w	ren wu	任务
w	ri chang	日常
w	fang xiang	方向
w	sheng yin	声音
w	yan se	颜色
w	shi wu	食物
w	dong wu	动物
w	zhi wu	植物
w	tai yang	太阳
w	yue liang	月亮
w	xing xing	星星
w	tian kong	天空
w	da hai	大海
w	he liu	河流
w	shan shui	山水
w	feng jing	风景
w	gong yuan	公园
w	guang chang	广场
w	jie dao	街道
w	dao lu	道路
w	jian zhu	建筑
w	chao shi	超市
w	shang dian	商店
w	shang chang	商场
w	shen fen	身份
w	shen fen zheng	身份证
w	hao ma	号码
w	dian hua ka	电话卡
w	dian hua hao ma	电话号码
w	yin xiang	音响
w	yin xiang	音箱
w	she xiang tou	摄像头
w	yang sheng qi	扬声器
w	mai ke feng	麦克风
w	ting tong	听筒
w	xu lie hao	序列号
w	xing hao	型号
w	pei jian	配件
w	wei xiu	维修
w	bao xiu	保修
w	shou hou	售后
w	deng yi xia	等一下
w	yi hui er	一会儿
w	bu hao yi si	不好意思
w	ma fan ni	麻烦你
w	xie xie ni	谢谢你
w	wo ai ni	我爱你
w	xi huan ni	喜欢你
w	dong le	懂了
w	bu dong	不懂
w	hao ba	好吧
w	suan le	算了
w	sui bian	随便
w	wu suo wei	无所谓
w	mei ban fa	没办法
w	you ke neng	有可能
w	bu yong shuo	不用说
w	kan yi kan	看一看
w	sou yi sou	搜一搜
w	bei jing	北京
w	shang hai	上海
w	guang zhou	广州
w	shen zhen	深圳
w	hang zhou	杭州
w	cheng du	成都
w	zhong guo	中国
w	xiang gang	香港
w	ao men	澳门
w	nan jing	南京
w	wu han	武汉
w	xi an	西安
w	chong qing	重庆
w	chang sha	长沙
w	qing dao	青岛
w	tian jin	天津
w	su zhou	苏州
